Link,Line,Dir,Order,From NLC,From ASC,From Station,To NLC,To ASC,To Station,Total,Early     ,AM Peak   ,Midday    ,PM Peak   ,Evening   ,Late      ,0500-0515,0515-0530,0530-0545,0545-0600,0600-0615,0615-0630,0630-0645,0645-0700,0700-0715,0715-0730,0730-0745,0745-0800,0800-0815,0815-0830,0830-0845,0845-0900,0900-0915,0915-0930,0930-0945,0945-1000,1000-1015,1015-1030,1030-1045,1045-1100,1100-1115,1115-1130,1130-1145,1145-1200,1200-1215,1215-1230,1230-1245,1245-1300,1300-1315,1315-1330,1330-1345,1345-1400,1400-1415,1415-1430,1430-1445,1445-1500,1500-1515,1515-1530,1530-1545,1545-1600,1600-1615,1615-1630,1630-1645,1645-1700,1700-1715,1715-1730,1730-1745,1745-1800,1800-1815,1815-1830,1830-1845,1845-1900,1900-1915,1915-1930,1930-1945,1945-2000,2000-2015,2015-2030,2030-2045,2045-2100,2100-2115,2115-2130,2130-2145,2145-2200,2200-2215,2215-2230,2230-2245,2245-2300,2300-2315,2315-2330,2330-2345,2345-0000,0000-0015,0015-0030,0030-0045,0045-0100,0100-0115,0115-0130,0130-0145,0145-0200,0200-0215,0215-0230,0230-0245,0245-0300,0300-0315,0315-0330,0330-0345,0345-0400,0400-0415,0415-0430,0430-0445,0445-0500
ELEu_BAK_NB>LAMu_BAK_NB@BAK,Bakerloo,NB,1,570,ELEu,Elephant & Castle LU,628,LAMu,Lambeth North,11650.25066813773,305.15215129990463,2264.463141020774,3781.0554920214477,3172.3152982311913,1490.32948395008,636.9351016143346,3.149321453415077,8.479660285575616,17.452910380366532,24.724150020873303,38.607737861480864,50.08132571966676,68.6817918748659,93.97525370366057,120.85309008840849,135.1776182342107,163.63545781666858,181.44897642297204,204.00933133365848,209.4681647078654,224.4150987283154,228.72443187180667,221.92404788375285,204.5833864402676,193.1221064979263,177.10143099492154,158.96309246948468,150.0607276556966,138.9513528813599,137.587547169058,139.3383403673538,137.74752504092925,142.038552169938,143.05983861927356,149.01301201564297,149.49206853417886,157.1700358640606,158.64118014087413,163.65817288281838,160.93649624337075,165.66889325962023,162.67252921158803,164.53793356884424,160.16700952281616,164.10576210737912,165.03019382307627,168.02915394157483,158.61686855421783,187.487085168619,198.08212080967223,203.5007690730944,219.8642593660037,252.16252454538815,259.41678592345687,273.4203582537545,300.2827233022085,305.11989682752153,302.52042859808705,284.4693475983987,277.92564808569995,252.44519411415,241.18736254342792,220.49020313315984,198.8147762361908,171.9204918386685,152.04199314434192,126.78950164557062,110.2018694008882,99.69630500476877,90.08958612895492,84.59167473708473,79.6155739798121,78.64150464828558,77.43600405235381,77.24775587323019,75.30794667840013,75.52454520708295,74.16586126978608,70.43864838405328,66.47268680327306,62.80493923204194,51.77612066893304,37.43800347521423,26.433925495484036,15.081156983768615,4.243511543067057,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
LAMu_BAK_NB>WLOu_BAK_NB@BAK,Bakerloo,NB,2,628,LAMu,Lambeth North,747,WLOu,Waterloo LU,15466.190202149306,369.12426550177713,2825.516260507974,5176.912819850935,4272.341128118303,1991.006785867236,831.288942303079,4.152936439936337,11.656573598345316,22.879958309571535,33.52334728023423,50.23459909121007,63.10973085568789,78.61488537236629,104.95223455442542,137.14165727297228,163.3712287400026,186.31786677717903,228.0274766714645,248.28653376409758,267.740738079111,271.56458182700845,290.94889427122865,274.21016836205587,268.0934888112774,248.09993346677052,241.7136924648064,224.18320961985603,213.17187748407326,199.3438150116316,194.40434168165402,192.3833699325773,188.78375392431812,191.6757295171593,192.57009389154797,197.77897673942056,200.33416456755558,208.77293341552445,213.13171447767706,219.13199782071356,219.0085622453309,223.1603931958847,220.82390408022937,221.8467915092222,220.9259789532328,224.69619069484105,226.8073650155656,228.61222841946102,231.77004225106063,252.49176027704803,271.10362512534994,281.67577054945264,301.771221912481,346.69813701089595,360.52617157887215,370.5396377393114,403.6330856591806,414.2578788752101,391.75059635706793,375.20560152354426,366.7109720814104,345.0639168256436,314.508138005232,288.0575671678776,263.3442208972025,230.71398624869715,191.2154976836866,173.04405819031703,152.15624965784397,135.88520876658873,123.53958692859165,116.40740521907291,108.46028108605374,104.61638544729068,103.56633857401344,100.77917342845764,97.78733697223906,95.77617398379455,99.01754782694351,93.03350911603144,83.79869639348931,74.79353908721362,69.71483057335129,46.83629771851652,33.00112858006237,23.658615024218626,13.092093598761055,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
WLOu_BAK_NB>EMBu_BAK_NB@BAK,Bakerloo,NB,3,747,WLOu,Waterloo LU,542,EMBu,Embankment,39472.42444095292,762.9585032337308,7737.3850473696975,12531.76360962916,11088.864984112872,5063.980683772584,2287.471612834871,5.602487279116002,8.725011764109208,24.22193368222268,43.942593742774896,76.82489360694763,135.7147215290037,193.98698019274934,273.93988143680735,367.2356664081829,449.72748929622236,543.8556574186008,636.7489821894358,718.3519950785102,776.4437880762497,811.3115703948314,766.035233461812,762.8822916438701,694.6697789572928,631.6784907758017,578.4441036688879,579.2018664739047,522.1121635167472,511.90017196447565,502.2512836373504,505.41603830580607,491.1308427023194,502.0552533401426,502.138163753944,509.74679385433166,509.33425470111405,513.5849586679954,507.4716783428209,513.3470182377148,504.7450070133732,508.1201761531968,507.31644950414574,511.6828451829405,511.52144913457,525.5425877720033,534.2441658288797,543.2632346844413,542.1414139979798,566.1135637710877,607.3822290878742,664.7385771696728,741.4122098872273,825.422117253268,887.8076212718013,939.1398286830594,1016.6275290788172,1015.1851767850197,1031.3399905316721,1066.6572247241454,1040.9963097060938,953.2902222411816,906.2481767809132,808.6390754894916,680.0494375143353,579.7955069773325,489.29817380150985,414.6166158832033,368.3874728089534,323.0123641314023,297.8449948799436,286.19331721078345,273.5636034856512,270.71872976150684,271.86139182846995,277.41268103673514,286.0857813591565,283.93222008231504,277.7143622732358,264.6274233570398,231.99563663049477,195.36303304058092,173.82143356491378,124.45651990165977,84.26546934676345,58.3314899089815,29.46556233299431,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
EMBu_BAK_NB>CHXu_BAK_NB@BAK,Bakerloo,NB,4,542,EMBu,Embankment,718,CHXu,Charing Cross LU,43645.82710164171,805.4212931774812,7633.499116946442,13772.580529510858,12682.880099466332,5842.32978082342,2909.116281717164,7.460338497486478,11.161203799789751,27.870644996667995,51.08487407148882,87.27387518415973,135.882950856381,208.29832631897648,276.3890794525309,364.3685233296308,467.0086414411823,544.5786732498296,638.1615205939071,720.9317774941718,753.7865467928681,764.2066909287857,749.3390357861629,720.5592725492605,677.4135342508496,639.3259859869736,593.8189145428196,585.3967810951448,545.8629304886249,521.1566159017868,520.1870430198749,520.7098080803997,515.8364484097497,525.8727138765439,530.8608475233751,540.5224013911554,550.2399683106761,555.3700518022271,554.7090209314321,565.9770204438718,560.7126534620737,564.5950593625198,571.6790810389546,575.1867643698016,577.8607710707872,592.9528678535971,598.4420855097202,611.2393317838587,655.6561297834761,689.5378648333908,742.0162691678161,804.6132874849648,852.9071043125093,911.8536078963284,1035.61954843484,1096.670009347398,1138.1832532968087,1225.0805541577215,1236.3515918589273,1173.2395230728205,1136.2896566367826,1090.2197956770287,981.8521672902016,875.0719715454325,767.1732419908284,660.3205497602454,558.6070733619999,480.8852405916105,429.3293054438948,389.70611276223434,354.8657680058432,343.7468862959705,327.45993897570577,325.5113844727213,329.65230761693306,346.75869665459123,355.31111151517007,361.8365676733683,363.8882726893624,341.01545243635087,301.42722499967095,256.9316496473532,222.36115480742748,151.69140370986034,104.76107804690012,67.87634984832968,35.25731968878036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
CHXu_BAK_NB>PICu_BAK_NB@BAK,Bakerloo,NB,5,718,CHXu,Charing Cross LU,674,PICu,Piccadilly Circus,49959.74708715385,935.9701931353941,8378.728183088859,15432.281127609389,14195.301621740844,6913.075177361231,4104.390784218148,9.848148787012725,14.545712868530094,32.9453935132083,54.85129394104207,95.77186426938714,160.04736982753104,243.70431428588745,324.25609564279523,427.5916548731608,516.1797383690284,613.4107051644611,674.4814314459892,795.3511343208911,825.3397201711584,854.1958449492645,811.1392070564731,813.693148364137,725.1152624089748,682.3653845555751,639.8649514097457,632.992529002914,594.4691460513761,572.9543244421932,578.1386776741733,576.2571048633549,573.0674405079828,581.7107876023249,589.9927853634624,597.906941967955,611.1752926577884,615.2712868224327,618.4013437771258,629.1223396196523,629.437450550872,636.9148206106007,652.9531221588912,658.3449388145949,666.033486511368,681.6543991520035,690.7493523013002,702.5531591526474,727.1235967801667,796.0151041746558,819.0416970495545,874.8130749854015,968.5780796184227,1059.000471828095,1116.2748750298392,1264.3490492438812,1314.4124141747666,1317.3198135572845,1335.018993741376,1349.3509693866895,1255.3484978043641,1206.7809629046385,1134.0544194660858,1009.9657690400408,853.1712756067437,741.9031995199138,636.4094666999515,557.0260053357746,503.3620431125705,465.01081795413546,433.86611343761126,424.6363686993941,415.3821254245577,423.33788283761294,449.00410969292335,491.6567231509954,515.0518307979198,524.6302385534555,525.3757937718515,481.78574284625745,411.67448142985063,349.7153178348194,303.67576699484647,209.41404310909397,145.56570091698342,96.82413290866293,49.02101190341124,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
PICu_BAK_NB>OXCu_BAK_NB@BAK,Bakerloo,NB,6,674,PICu,Piccadilly Circus,669,OXCu,Oxford Circus,60098.54498919567,865.6631427070095,7267.156238445009,16541.423978586983,16437.831409532555,10202.61963913626,8783.850580787837,0.0,16.586146376881043,35.4139905503177,57.54691030102272,98.60576035641908,157.14575312252606,215.12529438396618,285.2392876158767,375.07213529402037,442.50685692528265,530.433649047314,587.6809435925861,673.6057476223928,704.3495745470833,729.6535494456873,705.1110909949202,697.8697680134736,644.1581208383673,601.1670654287253,575.547736695156,559.8105471562251,546.0659931139688,524.0625843414614,536.7771494927831,543.0068586361775,547.3602476678124,544.9372215217286,562.0630295690792,575.9074499903336,582.6349704895238,591.4699347176331,620.8320743860384,644.6258138540727,655.1515658741997,680.8618921054696,724.7004916071737,752.1184182288076,774.9668791528003,805.4825962391991,840.7697971451653,918.8041326957268,945.4891556646868,985.6622398358838,1077.8629351010338,1140.2180445876268,1143.6615350033044,1220.8414516598114,1393.3378845665934,1420.3813769827755,1465.8810366936254,1550.460902473134,1580.1445646575503,1458.1084863073354,1426.7135197993534,1378.038943181259,1260.0436636201864,1137.2450541024875,1044.5007398449247,937.460783051102,854.7523356969742,788.9129937432152,750.525778369707,732.6287352263424,726.4014424682282,727.2265954821536,759.4871674871601,825.3913623607074,918.0866513032556,1038.2593037390832,1100.8330745572284,1116.8740841504405,1102.0227666125136,1051.3942157462368,864.9263561881601,769.356280088043,622.8135574978944,476.8330047942164,291.85459146419083,216.24883334202747,89.81526575333956,42.619246854464045,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OXCu_BAK_NB>RPKu_BAK_NB@BAK,Bakerloo,NB,7,669,OXCu,Oxford Circus,685,RPKu,Regent's Park,66097.94926143883,1230.7022924123141,9323.834209684432,18544.70824593406,17399.961508969485,10861.58247590343,8737.160528535109,0.0,17.332315142742058,38.98536439436733,79.27162771428391,131.62728034479625,236.01721656053022,323.7093200887603,403.7591681668341,549.047571893644,640.3601411171728,691.0164176636113,768.6086957206247,903.3879625698468,902.3593552796145,923.2780671667523,929.1872410124388,868.4294963597168,781.3119829037718,705.0156627088405,661.831615288398,624.4063240795706,624.3320438336194,590.7415615590457,612.0352112877891,619.8246623614074,621.041747122259,622.6990637813046,640.1557179017725,652.7759082288428,663.2167906734985,674.4589842785074,711.9666538333818,739.0968440893089,756.3993206084367,785.1587694808086,828.0788854317351,847.9309366643724,872.6728494658657,899.0353660250012,932.2347048281861,975.8646282094214,999.891748654647,1104.9020367962455,1145.787486739035,1221.3886134185561,1253.3496422578942,1382.159549677625,1411.9469422243774,1489.8567019347422,1571.080006984967,1607.7784945719802,1570.8307240358918,1540.3442726073804,1539.5205659416645,1440.5386797604929,1371.1673155539138,1275.2158451209034,1157.2493928110705,1014.3707388358267,930.8248256405427,858.2462464019853,804.1890299166205,786.3077053731364,773.0110003390196,757.8820765175974,779.9631425157413,829.3159145310573,895.0065578999278,982.5551480560894,1032.812905981069,1069.9385195522202,1069.2579517433473,996.1660968252464,894.9851387281079,799.3372499994451,650.6264866987876,503.7205631831525,357.55539669956846,223.56304796682892,108.19346272407631,48.44856037716933,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
RPKu_BAK_NB>BSTu_BAK_NB@BAK,Bakerloo,NB,8,685,RPKu,Regent's Park,511,BSTu,Baker Street,64317.84158571681,1119.54812105475,8515.972042212268,17652.226728247835,17354.476101490123,10767.77844087113,8907.84015184069,0.0,17.433001185365825,27.05427453855349,52.26027472829736,128.95766543263986,206.84408730023728,288.2274335823005,398.77138428735583,517.3717688741929,579.8704559855934,639.5035010683257,737.1013236748598,788.5016975746976,850.1939873100998,836.5363159844861,844.5223847377267,782.7151668857158,726.37019219937,612.7516103108381,600.5336376063623,569.1432272814377,547.1752071862429,541.8064647423913,564.9741182817717,575.5179330614095,579.8129396855702,580.621132056744,596.3372234949964,617.2167407809977,620.0348107098844,638.6112321974579,675.3900062549227,698.251417488854,719.2589155472689,753.6547628866269,781.1366299001702,811.4674895499436,843.2682191838968,864.9813882030043,899.1323661790442,948.0572048465635,1025.3959511935147,1068.8555132275849,1132.1258343075344,1214.0387247512938,1302.795649573135,1322.855355989856,1397.7178320234786,1478.142012182985,1555.9398981099494,1537.5746196467492,1570.9580309778205,1611.0321306435267,1544.1206558786025,1440.4280012677834,1378.8731904449444,1274.4035985233772,1112.7017024737545,1014.577013723302,922.2177957555797,864.7455322523617,807.6407683265311,778.8801393406948,773.3442779683166,767.5147061923085,768.5466707158115,813.3011553603785,869.9050802387111,953.2233008775908,1018.3448455694042,1052.5692388495959,1052.4184317792867,1046.571684014442,945.133590306992,803.8766011075778,702.2282736182988,556.4642646164988,357.5433616710502,223.89282786156502,146.96979654341519,48.60393502497257,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
BSTu_BAK_NB>MYBu_BAK_NB@BAK,Bakerloo,NB,9,511,BSTu,Baker Street,641,MYBu,Marylebone LU,64538.02321208023,1211.1039386172213,9412.269862345638,17493.667559374313,18349.890655045827,10462.662249010751,7608.428947686472,0.0,10.52092515729482,26.38352120116256,59.204735128493745,126.7228275770615,217.11743660619598,324.70132279661067,446.453170150402,578.4701462783971,671.5946722925993,771.556816240899,836.3576500040491,882.5644543292932,929.2021298887024,908.0273819054972,871.9494924243013,840.1792840349675,775.7709716580565,685.509389034035,661.0874742548406,622.3996953731619,584.4646741843562,572.8727141517642,564.8378434415266,571.6838129544133,575.7280480209232,577.6852720356168,592.1265964408462,610.247675567898,609.571225979712,617.0928356596019,643.3096878659512,662.833829778398,678.9154369774296,713.2231586517513,749.6428155089988,783.1994112792623,817.9267504136606,844.0100959477843,892.7433710853111,960.7399871627633,1002.0018679361726,1054.8700062350333,1191.5407467219773,1282.4434557086065,1331.8038649683144,1399.7960637680542,1500.149274298979,1584.0081741418726,1595.0998160644574,1668.303011572352,1726.6649455391955,1701.4390454878046,1583.330444500155,1539.3248214739663,1437.5277375220674,1295.0186024917755,1171.1593326112759,1048.292209307603,943.2282342395126,843.5777250375172,784.371932760315,739.6420375953921,726.3544721698961,709.5034063557811,702.820089865056,732.0760596806332,766.6181468959938,822.4348014169472,867.4774981476999,907.3136546521823,901.1994182090843,860.7861141980328,782.6203289726027,700.0219513553106,592.8641379420087,466.05752467270514,336.0086769699503,218.6260129207243,115.85153436952484,37.16729385970147,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
MYBu_BAK_NB>ERBu_BAK_NB@BAK,Bakerloo,NB,10,641,MYBu,Marylebone LU,774,ERBu,Edgware Road (Bak),54506.48170817456,1068.128766316723,7678.070163017516,14640.81810138826,15444.398649427423,9205.120911839576,6469.945116185057,0.0,10.54759625345013,24.974746515632305,56.277630321271154,113.7717499461536,191.46015046660904,283.4001632699765,387.6967295436302,494.0700280045081,569.0015928439437,618.2005554034977,701.0391182817308,731.6295041992607,760.4735432908269,736.9676721949705,733.7502974453038,649.3178995263119,611.6755955893143,542.0106448423642,529.9337113954844,504.4182613500113,497.34830435408935,474.13383253924627,472.48080437979814,474.7914243012674,476.9296561449127,481.9430389089601,497.12003575347364,512.4656132634266,516.5248117663053,523.6702575141794,543.0621147300943,555.8369319356706,567.2908128929669,596.4627369714801,630.0574392579482,660.5883501404846,693.1834654498933,717.0141153005815,756.6246270922287,807.642002534359,841.5876705337472,890.1263103989421,949.5154838741963,1030.264537419951,1123.758762364067,1178.718792684846,1265.9765134398267,1348.6907039080209,1341.9082402682875,1360.840313761703,1396.5844178602151,1396.097328112984,1387.5017030722327,1368.458230786594,1245.5991057486956,1181.4700152214473,1022.8706131994479,909.1033292008916,818.4686141623317,768.0350049754975,679.5695245943368,671.9629980882137,630.2167838763282,616.2822372188998,610.2762420757399,635.1866553232035,661.6788939032384,701.3412796511545,733.5047495321153,763.1166487146364,758.4947309552315,721.7189810560932,653.6038625719074,588.9841861382932,508.0130747365039,402.43794899678664,294.61386191004465,199.24000318443717,109.34721959660544,35.52856914124722,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
